,Artist name,Title of Artwork,Artwork type,Auction,Location,Closed date,Currency,low Estimate,high Estimate,Price realised,Details,Website link
32,PABLO PICASSO,picador (a. r. 160),Prints,Sotheby's,London,10–17 October 2023 ,GBP,1000,2000,2540,"Pablo Picasso 1881 - 1973 Picador (A. R. 160) inscribed Edition Picasso, with the Edition Picasso and Madoura stamps Terre de faïence plate, partially glazed and painted diameter: 195 mm. 7⅝ in. Executed in 1952; this work is from the edition of 500.",https://www.sothebys.com/en/buy/auction/2023/modern-discoveries-5/picador-a-r-160
33,PABLO PICASSO,joueur de flûte et chèvre (a. r. 382),Prints,Sotheby's,London,10–17 October 2023 ,GBP,4000,6000,,"Pablo Picasso 1881 - 1973 Joueur de flûte et chèvre (A. R. 382) with the Empreinte Originale de Picasso and Madoura stamps terre de faïence plaque, partially glazed and painted diameter: 254 mm. 10 in. Executed in 1956; this work is from the edition of 450.",https://www.sothebys.com/en/buy/auction/2023/modern-discoveries-5/joueur-de-flute-et-chevre-a-r-382
34,PABLO PICASSO,visage no. 202 (a. r. 495),Prints,Sotheby's,London,10–17 October 2023 ,GBP,6000,8000,6350,"Pablo Picasso 1881 - 1973 Visage no. 202 (A. R. 495) numbered 436/500, titled, inscribed Edition Picasso and Madoura terre de faïence plate, glazed and painted diameter: 255 mm. 10 in. Executed in 1963; this work is number 436 from the edition of 500.",https://www.sothebys.com/en/buy/auction/2023/modern-discoveries-5/visage-no-202-a-r-495
35,PABLO PICASSO,vase deux anses hautes (a. r. 213),Prints,Sotheby's,London,10–17 October 2023 ,GBP,20000,30000,25400,"Pablo Picasso 1881 - 1973 Vase deux anses hautes (A. R. 213) inscribed Edition Picasso, with the Edition Picasso and Madoura stamps Terre de faïence vase, partially glazed and painted height: 390 mm. 15⅜ in. Executed in 1953; this work is from the edition of 400.",https://www.sothebys.com/en/buy/auction/2023/modern-discoveries-5/vase-deux-anses-hautes-a-r-213
36,PABLO PICASSO,sujet poule (a. r. 250),Prints,Sotheby's,London,10–17 October 2023 ,GBP,3000,5000,3810,"Pablo Picasso 1881 - 1973 Sujet poule (A. R. 250) inscribed Edition Picasso and Madoura, with the Edition Picasso and Madoura stamps Terre de faïence pitcher, glazed and painted length: 160 mm. 6¼ in. Executed in 1954; this work is from the edition of 500.",https://www.sothebys.com/en/buy/auction/2023/modern-discoveries-5/sujet-poule-a-r-250
37,PABLO PICASSO,sujet poisson (a. r. 139),Prints,Sotheby's,London,10–17 October 2023 ,GBP,3000,5000,5080,"Pablo Picasso 1881 - 1973 Sujet poisson (A. R. 139) inscribed Edition Picasso, with the Edition Picasso and Madoura stamps terre de faïence pitcher, partially painted length: 200 mm. 8in. Executed in 1952; this work is from the edition of 500.",https://www.sothebys.com/en/buy/auction/2023/modern-discoveries-5/sujet-poisson-a-r-139
38,PABLO PICASSO,petite chouette (a. r. 82),Prints,Sotheby's,London,10–17 October 2023 ,GBP,3000,5000,6985,"Pablo Picasso 1881 - 1973 Petite chouette (A. R. 82) with the Madoura stamp terre de faïence pitcher, partially painted height: 125 mm. 4⅞ in. Executed in 1949; this work is from the edition of 200.",https://www.sothebys.com/en/buy/auction/2023/modern-discoveries-5/petite-chouette-a-r-82
39,PABLO PICASSO,pichet espagnol (a. r. 245),Prints,Sotheby's,London,10–17 October 2023 ,GBP,8000,12000,10795,"Pablo Picasso 1881 - 1973 Pichet Espagnol (A. R. 245) numbered 139/200, inscribed Edition Picasso and Madoura, with the Edition Picasso and Madoura stamps terre de faïence pitcher, partially glazed and painted height: 200 mm. 8in. Executed in 1954; this work is number 139 from the edition of 200.",https://www.sothebys.com/en/buy/auction/2023/modern-discoveries-5/pichet-espagnol-a-r-245
40,PABLO PICASSO,chouette femme (a. r. 119),Prints,Sotheby's,London,10–17 October 2023 ,GBP,7000,10000,,"Pablo Picasso 1881 - 1973 Chouette femme (A. R. 119) inscribed Edition Picasso, with the Edition Picasso and Madoura stamps Terre de faïence vase, partially glazed and painted height: 280 mm. 11 in. Executed in 1951; this work is from the edition of 500.",https://www.sothebys.com/en/buy/auction/2023/modern-discoveries-5/chouette-femme-a-r-119
41,PABLO PICASSO,montaignes près de malaga,Impressionist & Modern Art,Sotheby's,London,10–17 October 2023 ,GBP,100000,150000,952500,"Pablo Picasso 1881 - 1973 Montaignes près de Malaga signed P. Ruiz Picasso, dated Bareclona 97, and dedicated A mi querido amigo D. Hermenegildo, Montes (lower left) oil on canvas 60.4 by 82.2 cm. 23¾ by 32⅜ in. Framed: 94.5 by 116 cm. 37¼ by 41¾ in. Executed in 1897.",https://www.sothebys.com/en/buy/auction/2023/modern-discoveries-5/montaignes-pres-de-malaga
